Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
1606185848,137.110.0.70,443,192.168.1.204,62835,17,138,126,1,1,1606185848112;1606185848144;,126;138;,2;1;
1606185849,192.168.1.245,5353,224.0.0.251,5353,17,140,0,1,0,1606185849829;,140;,1;
1606185849,FE80::180B:42ED:197B:75E5,5353,FF02::FB,5353,17,160,0,1,0,1606185849829;,160;,1;
1606185850,137.110.0.70,443,192.168.1.204,62835,17,365,430,2,3,1606185850036;1606185850036;1606185850857;1606185850920;1606185850921;,191;138;174;174;118;,1;2;2;1;2;
1606185851,137.110.0.70,443,192.168.1.204,62835,17,174,130,1,1,1606185851265;1606185851265;,174;130;,1;2;
1606185852,137.110.0.70,443,192.168.1.204,62835,17,166,308,1,2,1606185852528;1606185852592;1606185852593;,170;166;138;,2;1;2;
1606185854,137.110.0.70,443,192.168.1.204,63271,6,52,89,1,1,1606185854839;1606185854875;,89;52;,2;1;
1606185855,137.110.0.70,443,192.168.1.204,62835,17,118,106,1,1,1606185855874;1606185855909;,106;118;,2;1;
1606185858,137.110.0.70,443,192.168.1.204,62835,17,608,552,4,4,1606185858637;1606185858637;1606185858637;1606185858638;1606185858638;1606185858639;1606185858639;1606185858669;,194;138;138;138;138;138;138;138;,1;1;1;2;2;2;2;1;
1606185858,192.168.1.245,5353,224.0.0.251,5353,17,140,0,1,0,1606185858832;,140;,1;
1606185858,FE80::180B:42ED:197B:75E5,5353,FF02::FB,5353,17,160,0,1,0,1606185858832;,160;,1;
