Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
1606186093,137.110.0.70,443,192.168.1.204,62835,17,166,308,1,2,1606186093018;1606186093079;1606186093079;,170;166;138;,2;1;2;
1606186098,137.110.0.70,443,192.168.1.204,62835,17,191,138,1,1,1606186098046;1606186098047;,191;138;,1;2;
1606186099,FE80::A608:F5FF:FE6C:3BA6,0,FF02::1,0,58,96,0,1,0,1606186099579;,96;,1;
