Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
1606185726,FE80::A608:F5FF:FE6C:3BA6,0,FF02::1,0,58,96,0,1,0,1606185726234;,96;,1;
1606185726,137.110.0.70,443,192.168.1.204,62835,17,138,126,1,1,1606185726587;1606185726618;,126;138;,2;1;
1606185729,137.110.0.70,443,192.168.1.204,62835,17,110,106,1,1,1606185729206;1606185729206;,110;106;,1;2;
1606185730,137.110.0.70,443,192.168.1.204,62835,17,111307,10364,85,57,1606185730540;1606185730570;1606185730733;1606185730788;1606185730788;1606185730943;1606185730949;1606185730954;1606185730972;1606185730972;1606185730974;1606185730974;1606185730981;1606185730981;1606185730981;1606185730981;1606185730983;1606185730983;1606185730983;1606185730983;1606185730983;1606185730983;1606185730983;1606185730983;1606185730983;1606185730983;1606185730984;1606185730984;1606185730984;1606185730984;1606185730984;1606185730984;1606185730984;1606185730984;1606185730984;1606185730984;1606185730984;1606185730985;1606185730985;1606185730985;1606185730985;1606185730985;1606185730985;1606185730985;1606185730985;1606185730985;1606185730985;1606185730985;1606185730985;1606185730985;1606185730985;1606185730985;1606185730985;1606185730985;1606185730985;1606185730985;1606185730985;1606185730985;1606185730986;1606185730986;1606185730986;1606185730986;1606185730986;1606185730986;1606185730986;1606185730986;1606185730986;1606185730986;1606185730987;1606185730987;1606185730988;1606185730988;1606185730988;1606185730988;1606185730988;1606185730988;1606185730988;1606185730988;1606185730988;1606185730988;1606185730989;1606185730989;1606185730989;1606185730996;1606185730996;1606185730996;1606185730996;1606185730996;1606185730996;1606185730996;1606185730996;1606185730996;1606185730996;1606185730996;1606185730996;1606185730996;1606185730996;1606185730996;1606185730996;1606185730996;1606185730996;1606185730996;1606185730996;1606185730997;1606185730997;1606185730997;1606185730997;1606185730997;1606185730997;1606185730997;1606185730997;1606185730997;1606185730997;1606185730997;1606185730997;1606185730997;1606185730997;1606185730997;1606185730997;1606185730997;1606185730997;1606185730997;1606185730997;1606185730997;1606185730997;1606185730997;1606185730997;1606185730997;1606185730997;1606185730997;1606185730997;1606185730997;1606185730997;1606185730998;1606185730998;1606185730998;1606185730998;1606185730998;1606185730998;1606185730998;1606185730999;1606185730999;,126;138;174;174;118;966;971;971;571;138;572;138;572;1366;138;138;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;138;138;138;138;138;138;138;138;138;138;138;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;138;138;138;138;138;138;138;138;138;138;138;138;138;1366;1366;1366;1366;1366;1366;1366;1366;1366;138;138;138;138;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;138;138;138;138;138;138;138;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;1366;138;138;138;138;138;138;138;138;138;138;138;138;,2;1;2;1;2;2;2;2;1;2;1;2;1;1;2;2;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;
