Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
1605589388,192.168.1.204,65349,137.110.0.70,443,17,1363,3095,6,4,1605589388101;1605589388101;1605589388163;1605589388166;1605589388166;1605589388167;1605589388167;1605589388167;1605589388168;1605589388169;,674;217;118;1366;1366;118;118;118;245;118;,1;1;2;2;2;1;1;1;2;1;
1605589392,192.168.1.204,65349,137.110.0.70,443,17,0,828,0,6,1605589392194;1605589392194;1605589392398;1605589392398;1605589392603;1605589392603;,138;138;138;138;138;138;,2;2;2;2;2;2;
1605589393,192.168.1.204,65349,137.110.0.70,443,17,0,276,0,2,1605589393115;1605589393115;,138;138;,2;2;
1605589394,192.168.1.204,65349,137.110.0.70,443,17,0,276,0,2,1605589394037;1605589394037;,138;138;,2;2;
1605589395,192.168.1.204,65349,137.110.0.70,443,17,19751,34124,95,62,1605589395200;1605589395200;1605589395200;1605589395200;1605589395200;1605589395200;1605589395201;1605589395201;1605589395201;1605589395201;1605589395201;1605589395201;1605589395201;1605589395201;1605589395201;1605589395202;1605589395202;1605589395202;1605589395202;1605589395202;1605589395202;1605589395202;1605589395202;1605589395202;1605589395202;1605589395202;1605589395202;1605589395202;1605589395202;1605589395203;1605589395203;1605589395203;1605589395203;1605589395203;1605589395203;1605589395228;1605589395233;1605589395233;1605589395235;1605589395235;1605589395235;1605589395236;1605589395259;1605589395266;1605589395266;1605589395266;1605589395266;1605589395266;1605589395266;1605589395267;1605589395267;1605589395267;1605589395267;1605589395267;1605589395267;1605589395267;1605589395267;1605589395267;1605589395267;1605589395267;1605589395267;1605589395267;1605589395268;1605589395268;1605589395268;1605589395268;1605589395269;1605589395269;1605589395269;1605589395270;1605589395270;1605589395271;1605589395279;1605589395312;1605589395313;1605589395326;1605589395326;1605589395326;1605589395327;1605589395327;1605589395331;1605589395331;1605589395331;1605589395332;1605589395332;1605589395335;1605589395335;1605589395345;1605589395346;1605589395347;1605589395403;1605589395403;1605589395403;1605589395404;1605589395404;1605589395405;1605589395405;1605589395406;1605589395406;1605589395406;1605589395409;1605589395410;1605589395413;1605589395413;1605589395469;1605589395470;1605589395470;1605589395471;1605589395471;1605589395471;1605589395474;1605589395474;1605589395477;1605589395477;1605589395535;1605589395535;1605589395536;1605589395536;1605589395537;1605589395540;1605589395541;1605589395543;1605589395544;1605589395599;1605589395601;1605589395601;1605589395602;1605589395602;1605589395605;1605589395606;1605589395608;1605589395609;1605589395666;1605589395667;1605589395667;1605589395668;1605589395668;1605589395672;1605589395673;1605589395675;1605589395676;1605589395730;1605589395732;1605589395733;1605589395733;1605589395733;1605589395736;1605589395737;1605589395739;1605589395740;1605589395794;1605589395796;1605589395796;1605589395797;1605589395797;1605589395800;1605589395801;,674;126;174;174;174;174;174;174;147;147;130;130;130;130;130;130;130;138;138;138;138;138;138;138;138;138;138;106;147;217;773;773;142;118;797;174;588;588;595;138;118;122;130;130;130;130;130;130;174;118;126;126;126;126;126;126;118;130;130;118;142;118;106;106;106;106;118;106;106;635;130;106;130;126;118;118;1366;1366;118;118;1366;1366;118;118;118;1246;118;198;674;217;118;421;421;118;118;1366;1366;118;118;118;246;118;674;217;118;1366;1366;118;118;118;258;118;674;217;118;1366;118;1366;118;244;118;674;217;118;1366;1366;118;118;246;118;674;217;118;1366;1366;118;118;258;118;674;217;118;1366;1366;118;118;245;118;674;217;118;1366;1366;118;118;258;118;,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;2;1;2;2;1;2;2;2;1;1;2;2;1;1;1;2;1;1;1;1;2;2;2;1;1;2;2;1;1;1;2;1;1;1;2;2;2;1;1;1;2;1;1;1;2;2;1;2;1;2;1;1;1;2;2;2;1;1;2;1;1;1;2;2;2;1;1;2;1;1;1;2;2;2;1;1;2;1;1;1;2;2;2;1;1;2;1;
1605589396,192.168.1.192,57621,192.168.1.255,57621,17,72,0,1,0,1605589396492;,72;,1;
1605589399,192.168.1.204,65349,137.110.0.70,443,17,292,292,2,2,1605589399883;1605589399942;1605589399942;1605589399942;,174;118;174;118;,1;2;2;1;
1605589400,192.168.1.204,51535,137.110.0.70,443,6,89,52,1,1,1605589400880;1605589400909;,89;52;,1;2;
1605589405,192.168.1.202,5353,224.0.0.251,5353,17,180,0,1,0,1605589405811;,180;,1;
1605589405,FE80::14C3:1D88:1F63:D8C,5353,FF02::FB,5353,17,200,0,1,0,1605589405811;,200;,1;
