Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
1605589632,192.168.1.204,65349,137.110.0.70,443,17,276,276,2,2,1605589632425;1605589632425;1605589632425;1605589632425;,138;138;138;138;,2;2;1;1;
1605589634,192.168.1.204,65349,137.110.0.70,443,17,138,190,1,1,1605589634371;1605589634371;,190;138;,2;1;
1605589636,192.168.1.204,65349,137.110.0.70,443,17,106,118,1,1,1605589636274;1605589636307;,106;118;,1;2;
1605589636,192.168.1.192,57621,192.168.1.255,57621,17,72,0,1,0,1605589636620;,72;,1;
1605589640,192.168.1.204,65349,137.110.0.70,443,17,292,174,2,1,1605589640720;1605589640901;1605589640901;,174;174;118;,1;2;1;
1605589641,192.168.1.204,65349,137.110.0.70,443,17,244,501,2,2,1605589641436;1605589641436;1605589641506;1605589641537;,363;118;126;138;,2;1;1;2;
1605589642,192.168.1.204,65349,137.110.0.70,443,17,1363,3366,6,5,1605589642592;1605589642592;1605589642731;1605589642734;1605589642734;1605589642734;1605589642734;1605589642734;1605589642735;1605589642735;1605589642783;,674;217;118;1366;1366;258;118;118;118;118;258;,1;1;2;2;2;2;1;1;1;1;2;
1605589642,FE80::A608:F5FF:FE6C:3BA6,0,FF02::1,0,58,96,0,1,0,1605589642849;,96;,1;
1605589649,192.168.1.204,51535,137.110.0.70,443,6,89,52,1,1,1605589649744;1605589649773;,89;52;,1;2;
1605589649,192.168.1.204,65349,137.110.0.70,443,17,10622,14689,50,32,1605589649744;1605589649745;1605589649745;1605589649745;1605589649745;1605589649745;1605589649745;1605589649745;1605589649745;1605589649745;1605589649745;1605589649745;1605589649745;1605589649745;1605589649745;1605589649746;1605589649746;1605589649746;1605589649746;1605589649746;1605589649746;1605589649779;1605589649779;1605589649780;1605589649781;1605589649788;1605589649812;1605589649812;1605589649812;1605589649813;1605589649813;1605589649814;1605589649814;1605589649814;1605589649814;1605589649814;1605589649814;1605589649814;1605589649814;1605589649814;1605589649814;1605589649814;1605589649814;1605589649814;1605589649814;1605589649815;1605589649815;1605589649815;1605589649816;1605589649816;1605589649816;1605589649872;1605589649872;1605589649872;1605589649873;1605589649873;1605589649873;1605589649873;1605589649876;1605589649876;1605589649877;1605589649877;1605589649877;1605589649881;1605589649882;1605589649892;1605589649893;1605589649893;1605589649944;1605589649944;1605589649945;1605589649945;1605589649949;1605589649951;1605589649951;1605589649952;1605589649952;1605589649952;1605589649954;1605589649955;1605589649957;1605589649958;,674;126;147;147;147;217;773;130;130;130;130;130;130;130;130;130;773;142;118;797;130;588;595;588;122;138;126;126;118;118;635;118;118;126;130;126;126;126;126;130;118;130;130;142;118;106;106;106;106;106;106;118;118;1366;118;1366;118;118;1366;1366;118;118;118;1246;118;198;674;217;421;421;118;118;118;1366;1366;118;118;118;244;118;674;217;,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;1;2;2;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;2;2;2;1;2;1;1;2;2;1;1;1;2;1;1;1;1;2;2;1;1;2;2;2;1;1;1;2;1;1;1;
