Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
1605589024,192.168.1.204,65349,137.110.0.70,443,17,484,520,4,4,1605589024456;1605589024456;1605589024460;1605589024460;1605589024487;1605589024492;1605589024492;1605589024492;,126;126;106;126;138;118;138;126;,1;1;1;1;2;2;2;2;
1605589025,FE80::A608:F5FF:FE6C:3BA6,0,FF02::1,0,58,96,0,1,0,1605589025599;,96;,1;
1605589027,192.168.1.204,65349,137.110.0.70,443,17,1363,3094,6,4,1605589027070;1605589027070;1605589027165;1605589027165;1605589027165;1605589027166;1605589027166;1605589027166;1605589027168;1605589027169;,674;217;118;1366;1366;118;118;118;244;118;,1;1;2;2;2;1;1;1;2;1;
1605589030,192.168.1.192,57621,192.168.1.255,57621,17,72,0,1,0,1605589030001;,72;,1;
1605589031,192.168.1.204,65349,137.110.0.70,443,17,0,802,0,5,1605589031437;1605589031437;1605589031437;1605589031622;1605589031799;,194;138;138;194;138;,2;2;2;2;2;
1605589032,192.168.1.204,65349,137.110.0.70,443,17,0,2244,0,14,1605589032052;1605589032078;1605589032234;1605589032234;1605589032262;1605589032284;1605589032564;1605589032566;1605589032566;1605589032617;1605589032718;1605589032849;1605589032970;1605589032983;,138;194;194;138;138;138;194;174;118;118;138;174;194;194;,2;2;2;2;2;2;2;2;2;2;2;2;2;2;
1605589033,192.168.1.204,65349,137.110.0.70,443,17,0,1364,0,8,1605589033280;1605589033280;1605589033305;1605589033314;1605589033588;1605589033638;1605589033997;1605589033999;,194;138;174;138;194;138;194;194;,2;2;2;2;2;2;2;2;
1605589034,192.168.1.204,65349,137.110.0.70,443,17,102465,399572,504,447,1605589034236;1605589034236;1605589034236;1605589034236;1605589034236;1605589034236;1605589034236;1605589034237;1605589034237;1605589034237;1605589034237;1605589034237;1605589034237;1605589034237;1605589034237;1605589034237;1605589034238;1605589034238;1605589034238;1605589034238;1605589034238;1605589034238;1605589034238;1605589034238;1605589034238;1605589034238;1605589034239;1605589034239;1605589034239;1605589034239;1605589034239;1605589034239;1605589034239;1605589034239;1605589034239;1605589034239;1605589034239;1605589034239;1605589034239;1605589034239;1605589034239;1605589034239;1605589034239;1605589034239;1605589034239;1605589034239;1605589034239;1605589034239;1605589034240;1605589034240;1605589034240;1605589034240;1605589034240;1605589034240;1605589034240;1605589034240;1605589034240;1605589034240;1605589034240;1605589034240;1605589034240;1605589034240;1605589034240;1605589034240;1605589034240;1605589034240;1605589034240;1605589034244;1605589034245;1605589034265;1605589034265;1605589034266;1605589034273;1605589034273;1605589034273;1605589034273;1605589034273;1605589034274;1605589034274;1605589034276;1605589034276;1605589034276;1605589034276;1605589034276;1605589034276;1605589034276;1605589034276;1605589034276;1605589034276;1605589034276;1605589034276;1605589034277;1605589034277;1605589034277;1605589034277;1605589034278;1605589034278;1605589034278;1605589034278;1605589034278;1605589034278;1605589034283;1605589034286;1605589034296;1605589034296;1605589034296;1605589034296;1605589034296;1605589034297;1605589034305;1605589034305;1605589034305;1605589034305;1605589034305;1605589034305;1605589034305;1605589034306;1605589034306;1605589034306;1605589034306;1605589034307;1605589034307;1605589034307;1605589034307;1605589034307;1605589034307;1605589034307;1605589034308;1605589034308;1605589034308;1605589034308;1605589034312;1605589034312;1605589034312;1605589034312;1605589034312;1605589034312;1605589034312;1605589034313;1605589034313;1605589034313;1605589034313;1605589034314;1605589034314;1605589034314;1605589034314;1605589034314;1605589034315;1605589034315;1605589034318;1605589034318;1605589034318;1605589034318;1605589034318;1605589034318;1605589034333;1605589034339;1605589034339;1605589034339;1605589034350;1605589034350;1605589034350;1605589034350;1605589034350;1605589034350;1605589034350;1605589034350;1605589034350;1605589034350;1605589034350;1605589034350;1605589034350;1605589034351;1605589034351;1605589034351;1605589034351;1605589034351;1605589034352;1605589034352;1605589034352;1605589034352;1605589034353;1605589034353;1605589034353;1605589034353;1605589034354;1605589034358;1605589034358;1605589034360;1605589034361;1605589034362;1605589034363;1605589034363;1605589034364;1605589034364;1605589034364;1605589034364;1605589034364;1605589034364;1605589034366;1605589034366;1605589034366;1605589034366;1605589034366;1605589034369;1605589034369;1605589034369;1605589034369;1605589034369;1605589034373;1605589034374;1605589034378;1605589034379;1605589034379;1605589034388;1605589034388;1605589034389;1605589034394;1605589034394;1605589034395;1605589034399;1605589034399;1605589034399;1605589034399;1605589034399;1605589034399;1605589034400;1605589034400;1605589034400;1605589034400;1605589034400;1605589034400;1605589034406;1605589034406;1605589034406;1605589034406;1605589034406;1605589034406;1605589034406;1605589034406;1605589034406;1605589034406;1605589034406;1605589034406;1605589034406;1605589034407;1605589034407;1605589034407;1605589034407;1605589034407;1605589034408;1605589034408;1605589034408;1605589034408;1605589034408;1605589034408;1605589034410;1605589034411;1605589034414;1605589034423;1605589034423;1605589034423;1605589034423;1605589034423;1605589034423;1605589034424;1605589034424;1605589034424;1605589034424;1605589034424;1605589034425;1605589034425;1605589034435;1605589034435;1605589034435;1605589034435;1605589034436;1605589034436;1605589034436;1605589034436;1605589034436;1605589034436;1605589034437;1605589034437;1605589034437;1605589034437;1605589034438;1605589034438;1605589034440;1605589034440;1605589034441;1605589034441;1605589034442;1605589034442;1605589034442;1605589034443;1605589034443;1605589034443;1605589034443;1605589034444;1605589034444;1605589034444;1605589034446;1605589034446;1605589034446;1605589034446;1605589034448;1605589034448;1605589034449;1605589034449;1605589034451;1605589034451;1605589034451;1605589034451;1605589034454;1605589034454;1605589034454;1605589034454;1605589034455;1605589034457;1605589034457;1605589034458;1605589034458;1605589034460;1605589034460;1605589034460;1605589034462;1605589034463;1605589034488;1605589034498;1605589034500;1605589034500;1605589034500;1605589034500;1605589034500;1605589034504;1605589034504;1605589034505;1605589034506;1605589034510;1605589034523;1605589034524;1605589034528;1605589034528;1605589034530;1605589034530;1605589034530;1605589034530;1605589034536;1605589034539;1605589034539;1605589034539;1605589034539;1605589034539;1605589034539;1605589034540;1605589034540;1605589034540;1605589034540;1605589034545;1605589034545;1605589034545;1605589034546;1605589034547;1605589034548;1605589034548;1605589034550;1605589034550;1605589034550;1605589034557;1605589034557;1605589034557;1605589034557;1605589034559;1605589034561;1605589034561;1605589034561;1605589034561;1605589034564;1605589034564;1605589034564;1605589034565;1605589034565;1605589034568;1605589034576;1605589034576;1605589034576;1605589034576;1605589034576;1605589034576;1605589034577;1605589034577;1605589034577;1605589034577;1605589034577;1605589034579;1605589034579;1605589034579;1605589034579;1605589034579;1605589034579;1605589034579;1605589034580;1605589034580;1605589034580;1605589034580;1605589034581;1605589034581;1605589034581;1605589034581;1605589034581;1605589034582;1605589034582;1605589034582;1605589034583;1605589034585;1605589034585;1605589034585;1605589034585;1605589034585;1605589034585;1605589034585;1605589034586;1605589034586;1605589034586;1605589034586;1605589034586;1605589034586;1605589034586;1605589034586;1605589034586;1605589034586;1605589034586;1605589034586;1605589034587;1605589034587;1605589034587;1605589034587;1605589034588;1605589034588;1605589034589;1605589034589;1605589034590;1605589034590;1605589034590;1605589034592;1605589034592;1605589034592;1605589034592;1605589034594;1605589034594;1605589034594;1605589034597;1605589034597;1605589034597;1605589034598;1605589034598;1605589034598;1605589034598;1605589034614;1605589034614;1605589034615;1605589034615;1605589034615;1605589034615;1605589034615;1605589034615;1605589034619;1605589034619;1605589034619;1605589034619;1605589034619;1605589034619;1605589034620;1605589034620;1605589034620;1605589034621;1605589034622;1605589034622;1605589034622;1605589034622;1605589034625;1605589034625;1605589034625;1605589034625;1605589034625;1605589034626;1605589034626;1605589034626;1605589034626;1605589034626;1605589034626;1605589034626;1605589034626;1605589034626;1605589034626;1605589034626;1605589034626;1605589034626;1605589034626;1605589034626;1605589034626;1605589034626;1605589034626;1605589034626;1605589034627;1605589034627;1605589034627;1605589034627;1605589034627;1605589034627;1605589034627;1605589034627;1605589034627;1605589034627;1605589034627;1605589034628;1605589034628;1605589034628;1605589034628;1605589034628;1605589034628;1605589034628;1605589034628;1605589034628;1605589034628;1605589034629;1605589034629;1605589034629;1605589034629;1605589034629;1605589034629;1605589034630;1605589034630;1605589034630;1605589034630;1605589034630;1605589034630;1605589034630;1605589034631;1605589034631;1605589034631;1605589034631;1605589034634;1605589034634;1605589034634;1605589034634;1605589034634;1605589034634;1605589034634;1605589034634;1605589034634;1605589034635;1605589034635;1605589034640;1605589034641;1605589034643;1605589034643;1605589034643;1605589034646;1605589034647;1605589034650;1605589034653;1605589034653;1605589034653;1605589034653;1605589034653;1605589034653;1605589034653;1605589034653;1605589034653;1605589034654;1605589034654;1605589034654;1605589034654;1605589034654;1605589034654;1605589034655;1605589034655;1605589034655;1605589034656;1605589034656;1605589034657;1605589034657;1605589034658;1605589034658;1605589034658;1605589034659;1605589034659;1605589034659;1605589034660;1605589034661;1605589034661;1605589034661;1605589034661;1605589034662;1605589034662;1605589034662;1605589034665;1605589034665;1605589034665;1605589034665;1605589034665;1605589034665;1605589034665;1605589034665;1605589034665;1605589034665;1605589034665;1605589034665;1605589034665;1605589034665;1605589034665;1605589034665;1605589034666;1605589034666;1605589034666;1605589034666;1605589034666;1605589034666;1605589034666;1605589034666;1605589034666;1605589034666;1605589034666;1605589034667;1605589034667;1605589034667;1605589034667;1605589034667;1605589034667;1605589034667;1605589034667;1605589034668;1605589034668;1605589034669;1605589034669;1605589034669;1605589034669;1605589034670;1605589034670;1605589034670;1605589034670;1605589034671;1605589034671;1605589034672;1605589034672;1605589034672;1605589034672;1605589034672;1605589034672;1605589034675;1605589034675;1605589034675;1605589034675;1605589034675;1605589034675;1605589034675;1605589034675;1605589034675;1605589034675;1605589034676;1605589034676;1605589034676;1605589034676;1605589034676;1605589034676;1605589034677;1605589034677;1605589034678;1605589034678;1605589034678;1605589034678;1605589034679;1605589034679;1605589034679;1605589034680;1605589034682;1605589034682;1605589034682;1605589034682;1605589034682;1605589034683;1605589034683;1605589034683;1605589034683;1605589034683;1605589034683;1605589034683;1605589034683;1605589034684;1605589034684;1605589034684;1605589034684;1605589034685;1605589034687;1605589034687;1605589034687;1605589034688;1605589034688;1605589034689;1605589034691;1605589034691;1605589034691;1605589034691;1605589034691;1605589034691;1605589034691;1605589034691;1605589034692;1605589034692;1605589034692;1605589034692;1605589034692;1605589034692;1605589034693;1605589034693;1605589034697;1605589034697;1605589034697;1605589034697;1605589034697;1605589034698;1605589034698;1605589034699;1605589034699;1605589034699;1605589034699;1605589034705;1605589034705;1605589034705;1605589034705;1605589034706;1605589034706;1605589034706;1605589034707;1605589034707;1605589034707;1605589034707;1605589034707;1605589034707;1605589034707;1605589034707;1605589034707;1605589034707;1605589034707;1605589034708;1605589034708;1605589034708;1605589034708;1605589034708;1605589034708;1605589034708;1605589034710;1605589034710;1605589034710;1605589034710;1605589034710;1605589034710;1605589034710;1605589034714;1605589034714;1605589034714;1605589034714;1605589034714;1605589034714;1605589034714;1605589034714;1605589034714;1605589034714;1605589034714;1605589034714;1605589034714;1605589034715;1605589034715;1605589034715;1605589034715;1605589034715;1605589034715;1605589034715;1605589034715;1605589034715;1605589034716;1605589034716;1605589034732;1605589034733;1605589034733;1605589034733;1605589034733;1605589034733;1605589034748;1605589034750;1605589034750;1605589034750;1605589034750;1605589034753;1605589034754;1605589034754;1605589034755;1605589034764;1605589034765;1605589034768;1605589034771;1605589034774;1605589034774;1605589034774;1605589034774;1605589034774;1605589034774;1605589034774;1605589034774;1605589034774;1605589034774;1605589034774;1605589034774;1605589034774;1605589034774;1605589034774;1605589034774;1605589034774;1605589034775;1605589034782;1605589034784;1605589034784;1605589034784;1605589034784;1605589034803;1605589034803;1605589034804;1605589034804;1605589034808;1605589034813;1605589034814;1605589034814;1605589034815;1605589034816;1605589034819;1605589034819;1605589034819;1605589034819;1605589034819;1605589034819;1605589034819;1605589034819;1605589034819;1605589034820;1605589034820;1605589034821;1605589034821;1605589034821;1605589034821;1605589034821;1605589034821;1605589034823;1605589034823;1605589034823;1605589034823;1605589034827;1605589034828;1605589034829;1605589034829;1605589034830;1605589034830;1605589034831;1605589034832;1605589034832;1605589034836;1605589034836;1605589034837;1605589034842;1605589034842;1605589034845;1605589034859;1605589034860;1605589034860;1605589034867;1605589034867;1605589034868;1605589034871;1605589034871;1605589034871;1605589034871;1605589034871;1605589034871;1605589034871;1605589034872;1605589034872;1605589034872;1605589034872;1605589034872;1605589034874;1605589034876;1605589034876;1605589034877;1605589034877;1605589034877;1605589034877;1605589034877;1605589034878;1605589034878;1605589034878;1605589034878;1605589034880;1605589034880;1605589034880;1605589034881;1605589034886;1605589034886;1605589034886;1605589034886;1605589034893;1605589034893;1605589034894;1605589034894;1605589034894;1605589034908;1605589034911;1605589034911;1605589034911;1605589034911;1605589034911;1605589034911;1605589034919;1605589034919;1605589034919;1605589034919;1605589034920;1605589034920;1605589034921;1605589034924;1605589034924;1605589034924;1605589034924;1605589034924;1605589034924;1605589034924;1605589034924;1605589034924;1605589034924;1605589034925;1605589034946;1605589034993;1605589034993;1605589034993;1605589034993;1605589034994;1605589034994;1605589034994;1605589034994;1605589034994;1605589034994;,674;147;147;174;174;174;174;174;106;106;147;130;130;130;130;130;130;130;138;138;138;138;138;138;138;118;138;128;128;139;139;1366;508;177;174;1366;284;1366;1366;138;138;138;138;150;150;150;138;138;150;150;150;118;118;118;130;130;138;138;138;150;150;217;773;773;142;118;797;174;130;588;588;118;595;275;287;410;422;122;150;138;138;138;138;177;138;150;150;126;126;126;126;138;1362;204;150;138;150;150;138;118;138;130;118;130;130;130;130;174;118;126;126;126;126;138;126;146;106;106;118;138;731;201;169;177;126;635;138;138;138;106;177;118;130;130;118;142;130;118;146;146;146;106;106;138;138;138;655;655;655;501;853;169;138;138;138;138;138;126;118;138;138;138;1366;1366;1366;405;1366;1366;1366;405;1366;1366;138;138;1366;404;138;138;138;138;138;138;138;138;138;138;350;138;202;218;218;218;138;138;230;230;971;775;600;118;1366;1366;118;118;1366;1366;118;118;118;1247;118;198;674;217;718;138;169;169;138;138;441;441;181;181;441;138;126;126;138;138;169;126;138;138;169;1366;1366;1366;1366;1366;1366;1366;1366;126;138;138;138;138;1366;1366;138;138;138;138;138;138;1366;138;138;450;581;177;205;469;412;138;138;138;138;138;138;177;118;421;1366;118;138;1366;421;1366;118;118;1366;1366;1366;118;138;138;258;1366;118;138;1366;1366;138;1366;1366;1366;674;217;138;138;1366;1366;138;138;1366;1366;138;138;1366;1366;138;138;1366;1366;138;138;138;1366;1366;138;138;1366;1366;138;588;138;775;118;1366;1366;118;118;118;258;118;674;217;138;132;132;1362;204;131;131;130;130;441;208;401;173;177;138;138;138;138;177;544;250;262;249;150;236;125;125;150;150;150;280;279;268;267;118;1366;1366;118;118;138;246;118;674;217;138;1366;1366;1366;1366;1366;1366;138;138;138;138;138;1366;1366;146;508;138;1366;1366;138;138;138;138;1366;1366;138;655;138;1366;1366;138;138;1366;1366;146;146;146;138;138;138;138;655;655;655;265;1366;1366;1366;1366;138;138;1366;1366;138;138;1366;1366;138;138;1366;1366;138;1366;1366;138;138;1366;1225;138;201;169;177;138;138;138;177;255;243;271;240;241;240;240;240;138;1366;1366;1366;405;138;118;138;138;138;1366;1366;294;118;218;230;138;138;138;138;138;138;258;1366;1366;1366;405;1366;1366;1366;404;1366;1366;494;270;238;236;456;118;126;126;126;126;126;126;126;126;138;138;674;217;1366;1366;1366;405;1366;521;1366;1366;126;126;126;138;138;138;1366;1366;1366;1366;138;138;138;1366;1366;138;138;1366;1366;1366;1366;138;1366;368;138;138;138;138;243;218;251;215;223;243;239;138;372;1366;1366;446;1366;1366;138;138;138;138;138;1366;1366;138;138;1366;719;138;1366;1366;138;138;1366;1366;138;1366;963;138;138;1366;1366;1366;138;138;138;1366;240;1366;1366;1366;1366;138;441;190;1366;1366;1161;1366;1366;1366;1366;605;138;138;138;138;1366;1366;1366;169;138;138;138;138;138;138;138;138;138;138;1366;138;138;240;1366;1366;240;138;138;1366;1366;138;138;240;1366;1366;240;241;138;1366;1366;1366;1366;1366;1366;138;138;138;138;138;1366;716;1366;623;138;138;138;1366;1366;138;138;138;1366;1366;138;1366;1366;648;1366;138;138;138;1366;1366;1366;138;1366;1366;138;138;138;138;118;1366;1366;118;1366;1366;138;1366;244;1366;1366;1366;1366;1366;118;138;138;138;138;1366;138;674;217;1366;1366;1366;138;138;1366;138;1366;1366;138;138;1366;1366;1366;1366;138;138;138;1366;1366;138;1366;1366;1366;1366;138;138;138;138;1366;1366;1366;1366;138;138;138;1366;1366;1366;1366;138;138;138;1366;1366;1366;1366;1366;1366;138;1366;1366;1366;1366;1366;1366;1366;948;138;138;138;138;138;138;138;138;138;240;241;241;240;241;241;118;1366;1366;138;118;245;118;674;217;1029;138;240;138;1141;1366;1366;1366;1366;1366;880;1366;1296;1366;419;138;138;138;138;138;138;138;241;241;240;241;240;143;143;1304;138;240;118;1366;1366;118;138;1366;1066;258;1366;1366;1366;1366;1366;198;138;138;118;138;138;138;138;138;1366;371;414;426;138;138;1362;204;1362;204;150;240;240;240;241;240;1061;138;240;146;138;735;349;176;138;897;1366;1366;1366;1366;1366;635;138;138;138;138;138;138;240;240;1366;1366;294;1366;329;138;138;138;138;1366;328;138;138;240;240;240;138;350;138;202;230;610;138;1366;479;1366;200;138;138;138;718;138;169;169;138;138;1366;503;1366;664;1366;999;138;138;138;138;138;138;528;201;169;177;138;138;138;138;177;262;,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;2;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;1;1;1;1;2;2;2;2;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;1;1;2;2;1;1;1;2;1;1;1;1;2;1;1;2;2;1;2;2;2;2;2;2;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;2;2;1;1;1;1;1;1;2;1;2;2;2;2;2;2;2;1;1;1;1;1;1;1;2;2;2;1;1;2;2;2;1;1;2;2;2;1;1;1;2;2;1;1;2;2;1;2;2;2;1;1;1;1;2;2;1;1;2;2;1;1;2;2;1;1;2;2;1;1;2;2;2;1;1;2;2;1;2;1;1;2;2;2;1;1;1;2;1;1;1;2;1;1;1;1;1;1;1;1;1;2;2;2;2;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;1;1;2;2;1;1;1;2;2;2;2;2;2;2;1;1;1;1;1;2;2;2;2;2;2;2;1;1;1;1;2;2;1;1;1;2;2;1;1;2;2;2;2;2;1;1;1;1;1;1;1;1;2;2;2;2;1;1;2;2;1;1;2;2;1;1;2;2;1;2;2;1;1;2;2;1;2;2;2;1;1;1;1;2;2;1;1;1;1;1;1;2;2;2;2;2;1;2;1;1;1;2;2;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;1;1;1;1;1;1;2;2;2;2;1;1;1;2;2;1;1;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;1;1;1;1;1;2;2;1;1;2;2;1;2;2;1;1;2;2;1;2;2;1;1;2;2;2;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;2;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;2;2;1;1;1;2;2;1;1;1;2;2;1;1;1;2;2;2;2;2;2;1;1;1;1;2;2;2;2;2;1;1;1;2;2;2;1;1;2;2;1;2;2;2;2;1;1;1;2;2;2;2;2;2;1;1;1;1;2;2;2;1;2;2;1;2;2;2;2;2;2;2;1;1;1;1;1;2;1;1;1;2;2;2;1;1;2;1;2;2;1;1;2;2;2;2;1;1;1;2;2;2;2;2;2;2;1;1;1;1;2;2;2;2;1;1;1;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;1;2;1;1;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;1;1;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;2;1;1;2;2;2;2;2;1;1;1;1;2;2;1;1;1;1;1;2;2;1;1;1;1;2;2;2;2;2;1;1;2;2;1;1;2;2;1;2;2;2;2;2;2;1;1;1;1;1;2;2;2;2;2;1;1;1;1;1;1;
1605589035,192.168.1.204,65349,137.110.0.70,443,17,5953,4082,13,7,1605589035003;1605589035016;1605589035026;1605589035026;1605589035028;1605589035031;1605589035038;1605589035038;1605589035061;1605589035061;1605589035061;1605589035062;1605589035063;1605589035064;1605589035130;1605589035130;1605589035430;1605589035431;1605589035732;1605589035732;,245;138;631;138;210;248;852;138;138;1366;188;138;769;138;1362;204;1362;204;1362;204;,1;2;2;1;1;1;2;1;2;2;2;1;2;1;1;1;1;1;1;1;
1605589036,192.168.1.204,65349,137.110.0.70,443,17,3132,0,4,0,1605589036632;1605589036632;1605589036933;1605589036933;,1362;204;1362;204;,1;1;1;1;
