Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
1606186396,192.168.1.204,62835,137.110.0.70,443,17,106,118,1,1,1606186396886;1606186396922;,106;118;,1;2;
1606186403,192.168.1.204,62835,137.110.0.70,443,17,128553,152319,510,301,1606186403701;1606186403701;1606186403701;1606186403701;1606186403701;1606186403701;1606186403701;1606186403701;1606186403701;1606186403701;1606186403701;1606186403701;1606186403701;1606186403701;1606186403701;1606186403701;1606186403702;1606186403702;1606186403702;1606186403702;1606186403702;1606186403702;1606186403702;1606186403702;1606186403702;1606186403702;1606186403702;1606186403702;1606186403702;1606186403702;1606186403702;1606186403702;1606186403702;1606186403702;1606186403702;1606186403702;1606186403702;1606186403702;1606186403702;1606186403702;1606186403702;1606186403702;1606186403702;1606186403702;1606186403702;1606186403702;1606186403702;1606186403702;1606186403702;1606186403702;1606186403703;1606186403703;1606186403703;1606186403703;1606186403703;1606186403703;1606186403703;1606186403703;1606186403703;1606186403703;1606186403703;1606186403703;1606186403703;1606186403703;1606186403703;1606186403703;1606186403703;1606186403703;1606186403703;1606186403704;1606186403704;1606186403704;1606186403704;1606186403704;1606186403704;1606186403704;1606186403704;1606186403704;1606186403704;1606186403704;1606186403704;1606186403704;1606186403704;1606186403704;1606186403704;1606186403704;1606186403704;1606186403704;1606186403704;1606186403704;1606186403704;1606186403704;1606186403704;1606186403704;1606186403704;1606186403704;1606186403704;1606186403705;1606186403705;1606186403705;1606186403705;1606186403705;1606186403705;1606186403705;1606186403705;1606186403705;1606186403705;1606186403705;1606186403705;1606186403705;1606186403705;1606186403705;1606186403705;1606186403705;1606186403705;1606186403705;1606186403705;1606186403705;1606186403705;1606186403705;1606186403705;1606186403705;1606186403705;1606186403705;1606186403705;1606186403705;1606186403705;1606186403705;1606186403705;1606186403705;1606186403705;1606186403705;1606186403706;1606186403706;1606186403706;1606186403706;1606186403706;1606186403706;1606186403706;1606186403706;1606186403706;1606186403706;1606186403706;1606186403706;1606186403706;1606186403706;1606186403706;1606186403706;1606186403706;1606186403706;1606186403706;1606186403706;1606186403706;1606186403706;1606186403706;1606186403706;1606186403706;1606186403706;1606186403706;1606186403706;1606186403706;1606186403706;1606186403706;1606186403706;1606186403706;1606186403706;1606186403706;1606186403707;1606186403707;1606186403707;1606186403707;1606186403707;1606186403707;1606186403707;1606186403707;1606186403707;1606186403707;1606186403707;1606186403707;1606186403707;1606186403707;1606186403707;1606186403707;1606186403707;1606186403707;1606186403707;1606186403707;1606186403707;1606186403707;1606186403707;1606186403707;1606186403707;1606186403707;1606186403707;1606186403707;1606186403707;1606186403707;1606186403707;1606186403707;1606186403708;1606186403708;1606186403708;1606186403708;1606186403708;1606186403708;1606186403708;1606186403708;1606186403708;1606186403708;1606186403708;1606186403708;1606186403708;1606186403708;1606186403708;1606186403708;1606186403708;1606186403708;1606186403708;1606186403708;1606186403708;1606186403708;1606186403708;1606186403708;1606186403708;1606186403708;1606186403708;1606186403730;1606186403734;1606186403734;1606186403736;1606186403736;1606186403736;1606186403736;1606186403736;1606186403736;1606186403736;1606186403736;1606186403736;1606186403736;1606186403736;1606186403736;1606186403736;1606186403737;1606186403737;1606186403737;1606186403737;1606186403737;1606186403737;1606186403737;1606186403737;1606186403737;1606186403737;1606186403737;1606186403737;1606186403737;1606186403738;1606186403738;1606186403738;1606186403738;1606186403738;1606186403738;1606186403738;1606186403738;1606186403738;1606186403738;1606186403739;1606186403739;1606186403739;1606186403739;1606186403739;1606186403739;1606186403739;1606186403739;1606186403739;1606186403739;1606186403739;1606186403739;1606186403739;1606186403739;1606186403739;1606186403739;1606186403739;1606186403739;1606186403739;1606186403739;1606186403739;1606186403739;1606186403739;1606186403739;1606186403739;1606186403739;1606186403739;1606186403739;1606186403739;1606186403739;1606186403739;1606186403739;1606186403739;1606186403739;1606186403739;1606186403739;1606186403739;1606186403739;1606186403739;1606186403739;1606186403739;1606186403739;1606186403739;1606186403740;1606186403740;1606186403740;1606186403740;1606186403740;1606186403740;1606186403740;1606186403740;1606186403740;1606186403740;1606186403740;1606186403740;1606186403741;1606186403741;1606186403741;1606186403741;1606186403741;1606186403741;1606186403741;1606186403741;1606186403741;1606186403741;1606186403741;1606186403741;1606186403741;1606186403741;1606186403741;1606186403741;1606186403741;1606186403741;1606186403742;1606186403742;1606186403742;1606186403742;1606186403742;1606186403742;1606186403742;1606186403742;1606186403743;1606186403743;1606186403743;1606186403743;1606186403743;1606186403743;1606186403743;1606186403744;1606186403750;1606186403750;1606186403750;1606186403750;1606186403750;1606186403750;1606186403750;1606186403750;1606186403750;1606186403750;1606186403750;1606186403750;1606186403750;1606186403750;1606186403750;1606186403750;1606186403750;1606186403750;1606186403750;1606186403750;1606186403750;1606186403750;1606186403750;1606186403750;1606186403750;1606186403750;1606186403754;1606186403754;1606186403754;1606186403754;1606186403754;1606186403754;1606186403754;1606186403754;1606186403754;1606186403754;1606186403754;1606186403754;1606186403754;1606186403754;1606186403754;1606186403754;1606186403755;1606186403755;1606186403755;1606186403755;1606186403755;1606186403755;1606186403756;1606186403764;1606186403764;1606186403764;1606186403764;1606186403764;1606186403764;1606186403765;1606186403765;1606186403765;1606186403765;1606186403765;1606186403769;1606186403769;1606186403769;1606186403769;1606186403769;1606186403769;1606186403769;1606186403769;1606186403769;1606186403769;1606186403769;1606186403769;1606186403769;1606186403769;1606186403769;1606186403769;1606186403769;1606186403769;1606186403769;1606186403769;1606186403769;1606186403769;1606186403769;1606186403769;1606186403769;1606186403771;1606186403771;1606186403772;1606186403772;1606186403772;1606186403772;1606186403772;1606186403772;1606186403772;1606186403772;1606186403772;1606186403772;1606186403772;1606186403772;1606186403772;1606186403772;1606186403772;1606186403772;1606186403772;1606186403772;1606186403772;1606186403772;1606186403772;1606186403772;1606186403773;1606186403773;1606186403773;1606186403773;1606186403773;1606186403774;1606186403774;1606186403774;1606186403774;1606186403774;1606186403774;1606186403774;1606186403774;1606186403774;1606186403774;1606186403774;1606186403774;1606186403774;1606186403774;1606186403774;1606186403774;1606186403774;1606186403774;1606186403774;1606186403774;1606186403774;1606186403774;1606186403775;1606186403775;1606186403775;1606186403775;1606186403775;1606186403775;1606186403775;1606186403776;1606186403776;1606186403776;1606186403776;1606186403776;1606186403776;1606186403776;1606186403776;1606186403776;1606186403776;1606186403776;1606186403776;1606186403776;1606186403777;1606186403777;1606186403777;1606186403777;1606186403777;1606186403777;1606186403777;1606186403777;1606186403777;1606186403777;1606186403777;1606186403777;1606186403777;1606186403777;1606186403777;1606186403777;1606186403778;1606186403778;1606186403778;1606186403778;1606186403778;1606186403778;1606186403778;1606186403778;1606186403778;1606186403780;1606186403780;1606186403780;1606186403780;1606186403780;1606186403780;1606186403780;1606186403781;1606186403781;1606186403781;1606186403781;1606186403782;1606186403782;1606186403783;1606186403784;1606186403787;1606186403787;1606186403787;1606186403787;1606186403787;1606186403787;1606186403787;1606186403788;1606186403792;1606186403792;1606186403792;1606186403792;1606186403792;1606186403792;1606186403800;1606186403800;1606186403800;1606186403804;1606186403804;1606186403804;1606186403804;1606186403804;1606186403804;1606186403804;1606186403804;1606186403804;1606186403804;1606186403804;1606186403804;1606186403804;1606186403804;1606186403804;1606186403804;1606186403806;1606186403806;1606186403806;1606186403806;1606186403806;1606186403806;1606186403806;1606186403806;1606186403806;1606186403806;1606186403806;1606186403806;1606186403806;1606186403807;1606186403807;1606186403808;1606186403808;1606186403808;1606186403808;1606186403808;1606186403808;1606186403808;1606186403808;1606186403808;1606186403808;1606186403808;1606186403809;1606186403809;1606186403809;1606186403809;1606186403809;1606186403809;1606186403809;1606186403809;1606186403809;1606186403809;1606186403810;1606186403810;1606186403810;1606186403810;1606186403812;1606186403812;1606186403812;1606186403812;1606186403812;1606186403812;1606186403812;1606186403812;1606186403812;1606186403812;1606186403812;1606186403812;1606186403812;1606186403812;1606186403812;1606186403812;1606186403812;1606186403812;1606186403812;1606186403812;1606186403812;1606186403812;1606186403812;1606186403812;1606186403812;1606186403812;1606186403813;1606186403813;1606186403813;1606186403813;1606186403813;1606186403816;1606186403816;1606186403816;1606186403816;1606186403816;1606186403816;1606186403816;1606186403816;1606186403816;1606186403816;1606186403816;1606186403816;1606186403817;1606186403817;1606186403817;1606186403817;1606186403818;1606186403818;1606186403827;1606186403830;1606186403832;1606186403832;1606186403832;1606186403833;1606186403833;1606186403833;1606186403841;1606186403841;1606186403841;1606186403841;1606186403842;1606186403842;1606186403842;1606186403842;1606186403842;1606186403842;1606186403842;1606186403843;1606186403844;1606186403844;1606186403844;1606186403844;1606186403844;1606186403844;1606186403844;1606186403844;1606186403844;1606186403845;1606186403845;1606186403845;1606186403845;1606186403845;1606186403845;1606186403845;1606186403845;1606186403846;1606186403846;1606186403846;1606186403846;1606186403846;1606186403846;1606186403846;1606186403846;1606186403846;1606186403846;1606186403846;1606186403847;1606186403847;1606186403847;1606186403847;1606186403848;1606186403848;1606186403850;1606186403850;1606186403852;1606186403852;1606186403853;1606186403853;1606186403856;1606186403860;1606186403860;1606186403860;1606186403860;1606186403860;1606186403860;1606186403863;1606186403863;1606186403863;1606186403863;1606186403863;1606186403863;1606186403863;1606186403863;1606186403867;1606186403870;1606186403872;1606186403875;1606186403875;1606186403875;1606186403876;1606186403876;1606186403876;1606186403878;1606186403879;1606186403879;1606186403880;1606186403880;1606186403881;1606186403882;1606186403883;1606186403883;1606186403886;1606186403886;1606186403886;1606186403886;1606186403886;1606186403886;1606186403887;1606186403887;1606186403888;1606186403888;1606186403892;1606186403893;1606186403893;1606186403908;1606186403908;1606186403908;1606186403908;1606186403911;1606186403911;1606186403911;1606186403911;1606186403912;1606186403912;1606186403912;1606186403913;1606186403914;1606186403914;1606186403914;1606186403916;1606186403916;1606186403916;1606186403916;1606186403916;1606186403917;1606186403917;1606186403917;1606186403940;1606186403940;1606186403943;1606186403952;1606186403967;1606186403967;1606186403967;1606186403968;1606186403968;1606186403968;,126;674;217;773;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;130;130;130;130;130;150;150;150;150;150;150;150;150;150;150;130;130;130;130;130;150;150;150;150;150;150;150;150;150;150;150;150;150;150;130;130;130;130;130;130;130;130;130;130;130;773;773;773;773;773;142;118;797;170;170;170;170;170;170;136;136;218;1366;130;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;130;130;130;130;150;150;150;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130;150;1366;565;1366;1366;212;1366;150;130;173;1366;1366;1366;1366;1366;1366;126;126;126;130;130;175;138;175;175;175;175;175;127;127;131;131;1362;204;1362;204;1362;204;1362;204;1362;204;1362;130;130;127;127;131;131;174;174;174;174;174;130;130;127;127;131;131;177;162;138;201;201;201;147;147;136;136;130;130;136;134;134;134;127;127;131;131;138;597;597;138;138;138;138;118;130;146;126;146;146;146;146;146;146;126;126;146;146;146;138;118;138;146;126;138;138;138;138;138;130;138;138;138;138;118;635;655;106;1366;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;126;1366;126;126;126;126;126;126;126;126;126;126;146;249;655;138;138;138;138;118;118;118;106;106;106;106;106;106;118;118;118;118;118;118;118;106;106;106;106;106;106;106;106;106;106;106;138;635;118;118;118;106;655;581;605;437;464;217;452;146;126;150;150;150;130;126;106;150;1346;1346;1346;1346;306;169;1346;605;437;217;413;425;437;1346;1346;1346;1346;354;217;1346;122;122;122;122;122;122;452;217;217;464;413;425;581;580;437;601;580;601;122;122;122;122;122;122;122;122;122;122;589;586;586;590;590;138;122;122;122;122;138;138;604;321;600;166;150;150;150;118;138;138;138;130;118;169;138;138;118;118;138;118;150;150;1366;1366;1366;138;175;133;1157;130;118;118;150;138;150;150;150;150;118;138;1366;1366;150;150;1366;1366;146;138;138;118;133;126;126;138;138;118;126;1366;1366;1366;324;126;1366;231;146;138;146;1366;1366;126;138;138;1366;1198;146;118;118;118;118;138;138;138;182;118;1246;118;210;138;138;138;138;138;138;118;138;138;138;138;118;118;138;138;138;118;655;635;655;655;822;460;459;459;1366;306;1317;1366;240;202;655;1366;585;118;130;130;130;150;174;218;126;118;198;647;674;217;130;202;138;138;150;150;150;138;138;138;184;181;173;1266;1035;169;126;212;106;118;118;289;192;149;138;138;138;118;118;153;118;118;118;149;118;1366;1198;584;1366;1366;1143;1366;1366;138;138;138;138;138;118;118;1366;1366;1337;1366;1366;118;138;118;118;118;138;1141;138;118;118;153;166;138;118;138;202;118;118;230;429;309;212;118;118;409;421;138;471;421;425;425;1366;1366;1142;138;138;138;118;138;118;138;138;138;138;169;138;1366;1366;118;118;118;1366;786;1366;968;250;138;138;169;173;138;138;138;138;118;138;138;674;217;202;126;182;210;1366;1366;517;826;138;138;138;138;317;218;1081;138;138;138;202;169;1366;1366;1366;1366;1366;1366;1366;1366;1366;138;138;138;138;138;138;138;138;138;1366;1366;118;1348;1366;332;138;138;138;138;1366;1366;118;118;251;118;674;217;433;433;138;138;202;138;698;1362;204;118;149;1346;1346;118;149;118;1346;1346;118;118;118;138;433;433;162;138;138;138;118;1366;1366;118;118;263;118;674;217;1346;433;433;1346;306;169;138;138;263;436;118;1096;118;118;162;138;126;1366;1366;118;118;263;153;141;118;1346;1346;152;1346;1346;1063;370;260;148;148;118;689;118;149;138;1366;738;169;138;138;138;,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;1;1;1;1;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;1;1;1;1;1;1;1;2;1;2;2;2;2;2;2;1;1;1;1;1;1;1;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;2;2;2;2;2;1;1;1;1;1;1;2;2;2;2;2;2;2;2;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;1;1;1;1;1;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;1;1;1;1;2;2;1;1;2;1;1;1;2;2;1;1;1;2;2;1;1;1;1;2;2;2;2;2;1;1;1;2;2;2;2;2;1;1;1;1;2;2;2;1;1;2;1;1;1;2;2;2;2;2;2;1;1;1;1;2;2;1;2;2;2;1;2;2;1;1;2;2;2;1;2;2;1;2;2;2;2;2;1;1;1;2;1;1;2;2;2;2;1;1;1;
1606186404,192.168.1.204,62835,137.110.0.70,443,17,23471,28433,70,57,1606186404007;1606186404007;1606186404007;1606186404007;1606186404007;1606186404008;1606186404008;1606186404017;1606186404038;1606186404044;1606186404044;1606186404045;1606186404073;1606186404073;1606186404073;1606186404074;1606186404074;1606186404079;1606186404079;1606186404079;1606186404079;1606186404079;1606186404079;1606186404079;1606186404080;1606186404080;1606186404080;1606186404080;1606186404080;1606186404080;1606186404085;1606186404092;1606186404092;1606186404092;1606186404092;1606186404092;1606186404092;1606186404097;1606186404097;1606186404108;1606186404108;1606186404109;1606186404109;1606186404109;1606186404114;1606186404114;1606186404115;1606186404122;1606186404122;1606186404134;1606186404138;1606186404139;1606186404152;1606186404153;1606186404157;1606186404174;1606186404174;1606186404174;1606186404174;1606186404174;1606186404199;1606186404199;1606186404213;1606186404231;1606186404235;1606186404241;1606186404255;1606186404271;1606186404272;1606186404298;1606186404298;1606186404299;1606186404299;1606186404322;1606186404325;1606186404329;1606186404330;1606186404334;1606186404349;1606186404349;1606186404349;1606186404362;1606186404372;1606186404372;1606186404372;1606186404404;1606186404410;1606186404410;1606186404411;1606186404411;1606186404411;1606186404412;1606186404412;1606186404412;1606186404412;1606186404429;1606186404443;1606186404444;1606186404460;1606186404461;1606186404488;1606186404488;1606186404488;1606186404488;1606186404523;1606186404524;1606186404576;1606186404576;1606186404576;1606186404585;1606186404585;1606186404585;1606186404594;1606186404594;1606186404610;1606186404610;1606186404610;1606186404611;1606186404619;1606186404658;1606186404658;1606186404659;1606186404659;1606186404671;1606186404735;1606186404771;1606186404771;,396;182;157;118;118;118;157;150;118;146;138;655;138;1366;1366;138;138;1366;1366;1366;230;138;138;138;138;138;1346;1346;1346;1346;202;184;181;173;1272;779;169;247;138;409;471;138;138;169;138;169;138;138;138;171;379;118;735;138;138;254;1366;1366;236;169;138;138;250;169;138;138;150;168;138;1366;648;138;138;491;118;171;180;138;283;945;169;118;138;138;138;203;1366;1366;138;138;138;1366;885;138;138;138;204;138;168;138;1346;1346;1346;1346;181;138;374;1366;204;269;946;169;188;138;118;118;153;118;138;745;169;138;138;226;138;362;118;,2;2;2;1;1;1;1;1;2;2;1;1;2;2;2;1;1;2;2;2;2;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;2;1;2;2;1;1;1;2;2;1;2;2;1;2;1;2;1;2;1;1;1;1;1;2;2;1;1;2;2;2;2;1;2;2;1;1;2;1;1;2;1;1;1;1;2;2;2;2;1;2;2;1;1;1;2;2;1;1;2;2;1;2;1;2;2;1;1;2;1;1;1;1;1;1;1;2;1;2;2;2;1;2;2;2;1;1;1;2;2;1;
1606186405,192.168.1.204,62835,137.110.0.70,443,17,7441,4701,16,14,1606186405345;1606186405345;1606186405345;1606186405345;1606186405619;1606186405620;1606186405646;1606186405646;1606186405679;1606186405679;1606186405760;1606186405760;1606186405771;1606186405771;1606186405787;1606186405793;1606186405794;1606186405820;1606186405820;1606186405890;1606186405890;1606186405890;1606186405914;1606186405914;1606186405914;1606186405914;1606186405965;1606186405965;1606186405966;1606186405988;,1346;1346;1346;1346;282;185;138;138;168;138;1366;178;323;138;138;211;138;168;138;188;1366;204;118;118;153;118;198;138;172;138;,2;2;1;1;1;1;2;2;2;1;1;1;2;1;2;2;1;2;1;1;1;1;2;2;2;1;2;1;1;2;
1606186406,192.168.1.204,62835,137.110.0.70,443,17,4040,3605,11,7,1606186406040;1606186406040;1606186406066;1606186406066;1606186406067;1606186406067;1606186406067;1606186406067;1606186406096;1606186406096;1606186406096;1606186406096;1606186406097;1606186406097;1606186406983;1606186406983;1606186406984;1606186406984;,361;118;177;162;177;162;138;138;138;138;138;138;138;138;1346;1346;1346;1346;,2;1;1;1;1;1;1;1;2;2;2;2;1;1;2;2;1;1;
1606186406,192.168.1.204,63271,137.110.0.70,443,6,89,52,1,1,1606186406646;1606186406670;,89;52;,1;2;
1606186407,192.168.1.204,62835,137.110.0.70,443,17,1264,1379,8,8,1606186407399;1606186407399;1606186407428;1606186407428;1606186407428;1606186407428;1606186407455;1606186407455;1606186407455;1606186407455;1606186407456;1606186407456;1606186407456;1606186407456;1606186407457;1606186407490;,220;177;138;138;177;138;230;212;169;177;138;138;138;138;177;138;,1;1;2;2;2;1;2;2;2;2;1;1;1;1;1;2;
1606186408,192.168.1.204,62835,137.110.0.70,443,17,6264,350,8,2,1606186408216;1606186408216;1606186408216;1606186408216;1606186408252;1606186408252;1606186408516;1606186408516;1606186408516;1606186408516;,1362;204;1362;204;177;173;1362;204;1362;204;,1;1;1;1;2;2;1;1;1;1;
1606186409,192.168.1.204,62835,137.110.0.70,443,17,3313,138,5,1,1606186409048;1606186409074;1606186409116;1606186409116;1606186409116;1606186409116;,181;138;1362;204;1362;204;,1;2;1;1;1;1;
1606186410,192.168.1.204,62835,137.110.0.70,443,17,6116,2984,8,4,1606186410157;1606186410157;1606186410158;1606186410158;1606186410317;1606186410317;1606186410317;1606186410318;1606186410523;1606186410576;1606186410580;1606186410581;,1346;1346;1346;1346;1362;204;1362;204;174;118;174;118;,2;2;1;1;1;1;1;1;1;2;2;1;
