Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
1605589146,192.168.1.202,5353,224.0.0.251,5353,17,77,0,1,0,1605589146123;,77;,1;
1605589146,FE80::14C3:1D88:1F63:D8C,5353,FF02::FB,5353,17,97,0,1,0,1605589146123;,97;,1;
1605589146,192.168.1.192,57621,192.168.1.255,57621,17,72,0,1,0,1605589146840;,72;,1;
1605589150,192.168.1.204,65349,137.110.0.70,443,17,292,292,2,2,1605589150876;1605589150938;1605589150944;1605589150945;,174;118;174;118;,1;2;2;1;
1605589151,FE80::A608:F5FF:FE6C:3BA6,0,FF02::1,0,58,96,0,1,0,1605589151961;,96;,1;
1605589151,192.168.1.204,65349,137.110.0.70,443,17,378,276,3,2,1605589151965;1605589151965;1605589151969;1605589151995;1605589151995;,126;126;126;138;138;,1;1;1;2;2;
1605589152,192.168.1.204,65349,137.110.0.70,443,17,106,256,1,2,1605589152001;1605589152513;1605589152540;,138;106;118;,2;1;2;
1605589153,192.168.1.204,65349,137.110.0.70,443,17,118,118,1,1,1605589153294;1605589153295;,118;118;,2;1;
1605589155,192.168.1.202,5353,224.0.0.251,5353,17,77,0,1,0,1605589155135;,77;,1;
1605589155,FE80::14C3:1D88:1F63:D8C,5353,FF02::FB,5353,17,97,0,1,0,1605589155135;,97;,1;
1605589158,192.168.1.192,57621,192.168.1.255,57621,17,72,0,1,0,1605589158104;,72;,1;
1605589160,192.168.1.204,51535,137.110.0.70,443,6,89,52,1,1,1605589160606;1605589160640;,89;52;,1;2;
1605589160,192.168.1.204,65349,137.110.0.70,443,17,418,300,3,2,1605589160606;1605589160676;1605589160677;1605589160764;1605589160794;,174;174;118;126;126;,1;2;1;1;2;
1605589165,192.168.1.204,65349,137.110.0.70,443,17,690,940,5,6,1605589165479;1605589165479;1605589165480;1605589165480;1605589165505;1605589165704;1605589165704;1605589165704;1605589165704;1605589165704;1605589165732;,194;138;138;138;138;194;138;138;138;138;138;,2;2;1;1;2;2;2;1;1;1;2;
1605589166,192.168.1.204,65349,137.110.0.70,443,17,138,190,1,1,1605589166606;1605589166607;,190;138;,2;1;
1605589169,192.168.1.204,65349,137.110.0.70,443,17,126,0,1,0,1605589169983;,126;,1;
1605589170,192.168.1.204,65349,137.110.0.70,443,17,796,864,6,6,1605589170015;1605589170020;1605589170045;1605589170077;1605589170130;1605589170132;1605589170132;1605589170162;1605589170363;1605589170384;1605589170426;1605589170458;,138;126;138;174;126;174;118;138;126;138;126;138;,2;1;2;1;1;2;1;2;1;2;1;2;
1605589172,192.168.1.204,65349,137.110.0.70,443,17,1363,3094,6,4,1605589172391;1605589172392;1605589172460;1605589172460;1605589172460;1605589172461;1605589172461;1605589172461;1605589172464;1605589172465;,674;217;118;1366;1366;118;118;118;244;118;,1;1;2;2;2;1;1;1;2;1;
1605589172,192.168.1.192,5353,224.0.0.251,5353,17,73,0,1,0,1605589172954;,73;,1;
1605589173,192.168.1.4,5353,224.0.0.251,5353,17,204,0,1,0,1605589173055;,204;,1;
1605589179,192.168.1.204,65349,137.110.0.70,443,17,21712,40013,102,69,1605589179454;1605589179463;1605589179463;1605589179463;1605589179463;1605589179463;1605589179463;1605589179463;1605589179463;1605589179463;1605589179463;1605589179463;1605589179463;1605589179463;1605589179463;1605589179463;1605589179463;1605589179463;1605589179463;1605589179463;1605589179463;1605589179463;1605589179463;1605589179463;1605589179463;1605589179463;1605589179463;1605589179463;1605589179463;1605589179463;1605589179463;1605589179494;1605589179494;1605589179494;1605589179494;1605589179494;1605589179494;1605589179495;1605589179496;1605589179496;1605589179497;1605589179497;1605589179497;1605589179497;1605589179497;1605589179498;1605589179514;1605589179518;1605589179519;1605589179519;1605589179527;1605589179527;1605589179527;1605589179527;1605589179527;1605589179527;1605589179527;1605589179527;1605589179527;1605589179527;1605589179528;1605589179528;1605589179529;1605589179529;1605589179529;1605589179529;1605589179540;1605589179541;1605589179541;1605589179578;1605589179580;1605589179580;1605589179580;1605589179580;1605589179580;1605589179580;1605589179581;1605589179581;1605589179581;1605589179581;1605589179581;1605589179582;1605589179582;1605589179583;1605589179586;1605589179586;1605589179587;1605589179587;1605589179587;1605589179588;1605589179589;1605589179590;1605589179596;1605589179596;1605589179597;1605589179613;1605589179613;1605589179614;1605589179621;1605589179643;1605589179652;1605589179652;1605589179652;1605589179652;1605589179653;1605589179653;1605589179653;1605589179653;1605589179655;1605589179655;1605589179656;1605589179656;1605589179659;1605589179659;1605589179661;1605589179690;1605589179691;1605589179692;1605589179716;1605589179718;1605589179718;1605589179718;1605589179718;1605589179720;1605589179721;1605589179722;1605589179722;1605589179730;1605589179771;1605589179772;1605589179778;1605589179779;1605589179779;1605589179780;1605589179780;1605589179780;1605589179783;1605589179783;1605589179783;1605589179785;1605589179786;1605589179845;1605589179846;1605589179846;1605589179846;1605589179847;1605589179848;1605589179848;1605589179848;1605589179849;1605589179849;1605589179852;1605589179852;1605589179908;1605589179910;1605589179910;1605589179911;1605589179911;1605589179914;1605589179915;1605589179918;1605589179918;1605589179978;1605589179979;1605589179979;1605589179980;1605589179980;1605589179983;1605589179983;1605589179986;1605589179986;,674;126;126;126;126;126;126;126;126;126;269;269;130;130;130;130;130;269;269;126;126;126;126;126;126;126;217;773;773;142;118;305;305;605;605;605;138;137;137;137;590;271;550;605;122;122;201;150;598;558;126;118;130;130;118;142;118;126;126;126;118;106;106;106;635;106;146;138;655;138;1366;1366;1366;192;138;138;138;138;138;118;1366;118;1366;118;1366;1366;118;118;118;264;1245;118;198;674;217;138;189;138;369;138;421;421;1366;118;118;1366;118;118;246;395;118;138;674;217;369;138;395;138;118;1366;1366;118;118;258;118;674;217;369;395;138;118;1366;1366;118;118;118;258;138;118;674;217;118;1366;1366;118;118;169;138;246;126;118;674;217;118;1366;1366;118;118;244;118;674;217;118;1366;1366;118;118;245;118;674;217;,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;1;1;1;2;2;2;2;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;2;1;1;2;2;2;2;2;1;1;1;1;1;2;2;1;2;1;2;2;1;1;1;1;2;1;1;1;1;2;2;1;1;2;2;2;2;1;1;2;1;1;2;2;1;1;1;1;1;2;2;1;2;2;2;1;1;2;1;1;1;1;2;1;2;2;2;1;1;1;2;1;1;1;1;2;2;2;1;1;2;2;2;1;1;1;1;2;2;2;1;1;2;1;1;1;2;2;2;1;1;2;1;1;1;
1605589180,192.168.1.204,65349,137.110.0.70,443,17,646,3282,5,5,1605589180043;1605589180058;1605589180058;1605589180059;1605589180059;1605589180062;1605589180062;1605589180601;1605589180682;1605589180683;,118;1366;1366;118;118;258;118;174;174;118;,2;2;2;1;1;2;1;1;2;1;
1605589182,192.168.1.202,5353,224.0.0.251,5353,17,77,0,1,0,1605589182169;,77;,1;
1605589182,FE80::14C3:1D88:1F63:D8C,5353,FF02::FB,5353,17,97,0,1,0,1605589182169;,97;,1;
1605589187,FE80::A608:F5FF:FE6C:3BA6,0,FF02::1,0,58,96,0,1,0,1605589187903;,96;,1;
1605589188,192.168.1.192,57621,192.168.1.255,57621,17,72,0,1,0,1605589188107;,72;,1;
1605589188,192.168.1.204,65349,137.110.0.70,443,17,4202,7551,22,14,1605589188282;1605589188321;1605589188853;1605589188853;1605589188853;1605589188882;1605589188882;1605589188882;1605589188885;1605589188907;1605589188908;1605589188909;1605589188930;1605589188937;1605589188937;1605589188937;1605589188938;1605589188938;1605589188938;1605589188938;1605589188948;1605589188950;1605589188951;1605589188951;1605589188951;1605589188971;1605589188972;1605589188973;1605589188974;1605589188975;1605589188975;1605589188976;1605589188976;1605589188976;1605589188977;1605589188977;,106;118;139;139;139;196;422;410;150;146;138;655;138;1346;1346;637;138;138;138;138;202;184;181;173;546;718;138;169;138;475;138;1284;177;138;138;177;,1;2;1;1;1;2;2;2;1;2;1;1;2;2;2;2;1;1;1;1;1;1;1;1;1;2;1;1;2;2;1;2;2;1;1;1;
1605589189,192.168.1.204,65349,137.110.0.70,443,17,0,276,0,2,1605589189000;1605589189005;,138;138;,2;2;
1605589190,192.168.1.204,51535,137.110.0.70,443,6,230,193,3,3,1605589190632;1605589190632;1605589190661;1605589190662;1605589190662;1605589190663;,89;89;52;52;89;52;,1;1;2;2;2;1;
1605589190,192.168.1.204,65349,137.110.0.70,443,17,292,174,2,1,1605589190778;1605589190830;1605589190831;,174;174;118;,1;2;1;
1605589191,192.168.1.204,65349,137.110.0.70,443,17,106,106,1,1,1605589191182;1605589191183;,106;106;,2;1;
1605589193,192.168.1.204,65349,137.110.0.70,443,17,516,883,4,6,1605589193230;1605589193231;1605589193846;1605589193846;1605589193846;1605589193846;1605589193846;1605589193846;1605589193846;1605589193872;,190;138;165;150;126;126;126;126;126;126;,2;1;2;2;2;2;1;1;1;2;
1605589197,192.168.1.204,65349,137.110.0.70,443,17,232,256,2,2,1605589197098;1605589197138;1605589197637;1605589197666;,126;138;106;118;,1;2;1;2;
1605589198,192.168.1.204,65349,137.110.0.70,443,17,106,106,1,1,1605589198389;1605589198417;,106;106;,1;2;
1605589200,192.168.1.204,65349,137.110.0.70,443,17,292,174,2,1,1605589200550;1605589200610;1605589200611;,174;174;118;,1;2;1;
1605589201,192.168.1.204,65349,137.110.0.70,443,17,1559,3468,7,6,1605589201873;1605589201901;1605589201902;1605589201902;1605589201925;1605589201940;1605589201940;1605589201940;1605589201940;1605589201940;1605589201940;1605589201943;1605589201972;,150;146;138;655;138;1346;1346;354;138;138;138;202;138;,1;2;1;1;2;2;2;2;1;1;1;1;2;
1605589202,192.168.1.240,5353,224.0.0.251,5353,17,140,0,1,0,1605589202855;,140;,1;
1605589202,FE80::14CF:E9FA:38E5:E9F6,5353,FF02::FB,5353,17,160,0,1,0,1605589202855;,160;,1;
1605589203,192.168.1.240,5353,224.0.0.251,5353,17,177,0,1,0,1605589203980;,177;,1;
1605589203,FE80::14CF:E9FA:38E5:E9F6,5353,FF02::FB,5353,17,197,0,1,0,1605589203980;,197;,1;
