Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
1605588902,192.168.1.204,65349,137.110.0.70,443,17,236,886,2,2,1605588902411;1605588902411;1605588902718;1605588902719;,440;118;446;118;,2;1;2;1;
1605588903,192.168.1.204,65349,137.110.0.70,443,17,374,1076,3,3,1605588903230;1605588903231;1605588903947;1605588903948;1605588903976;1605588903977;,441;118;445;118;190;138;,2;1;2;1;2;1;
1605588904,192.168.1.204,65349,137.110.0.70,443,17,118,447,1,1,1605588904561;1605588904562;,447;118;,2;1;
1605588905,192.168.1.204,65349,137.110.0.70,443,17,354,1936,3,3,1605588905176;1605588905177;1605588905483;1605588905484;1605588905509;1605588905510;,442;118;1055;118;439;118;,2;1;2;1;2;1;
1605588906,192.168.1.204,65349,137.110.0.70,443,17,724,2093,6,6,1605588906302;1605588906303;1605588906504;1605588906505;1605588906589;1605588906589;1605588906611;1605588906611;1605588906648;1605588906648;1605588906838;1605588906838;,441;118;440;118;126;126;138;138;467;118;469;118;,2;1;2;1;1;1;2;2;2;1;2;1;
1605588907,192.168.1.204,65349,137.110.0.70,443,17,236,885,2,2,1605588907010;1605588907011;1605588907737;1605588907738;,443;118;442;118;,2;1;2;1;
1605588908,192.168.1.204,65349,137.110.0.70,443,17,236,888,2,2,1605588908350;1605588908351;1605588908535;1605588908536;,445;118;443;118;,2;1;2;1;
1605588909,192.168.1.204,65349,137.110.0.70,443,17,460,1450,4,4,1605588909681;1605588909682;1605588909771;1605588909771;1605588909873;1605588909874;1605588909921;1605588909945;,443;118;445;118;444;118;106;118;,2;1;2;1;2;1;1;2;
1605588909,192.168.1.192,57621,192.168.1.255,57621,17,72,0,1,0,1605588909869;,72;,1;
1605588910,192.168.1.204,65349,137.110.0.70,443,17,292,174,2,1,1605588910207;1605588910270;1605588910271;,174;174;118;,1;2;1;
1605588911,192.168.1.204,65349,137.110.0.70,443,17,374,1021,3,3,1605588911834;1605588911835;1605588911947;1605588911948;1605588911963;1605588911964;,138;138;441;118;442;118;,2;1;2;1;2;1;
1605588912,192.168.1.204,65349,137.110.0.70,443,17,224,548,2,2,1605588912446;1605588912446;1605588912446;1605588912447;,106;442;106;118;,2;2;1;1;
1605588913,192.168.1.204,65349,137.110.0.70,443,17,1174,2309,7,5,1605588913163;1605588913164;1605588913171;1605588913171;1605588913172;1605588913193;1605588913193;1605588913194;1605588913298;1605588913298;1605588913982;1605588913983;,447;118;232;157;313;118;170;118;1133;118;441;118;,2;1;1;1;1;2;2;1;2;1;2;1;
1605588915,192.168.1.204,65349,137.110.0.70,443,17,236,881,2,2,1605588915415;1605588915416;1605588915571;1605588915572;,440;118;441;118;,2;1;2;1;
1605588916,192.168.1.204,65349,137.110.0.70,443,17,10847,7566,34,24,1605588916133;1605588916134;1605588916256;1605588916256;1605588916392;1605588916393;1605588916573;1605588916573;1605588916723;1605588916724;1605588916724;1605588916724;1605588916727;1605588916727;1605588916729;1605588916729;1605588916745;1605588916745;1605588916746;1605588916746;1605588916746;1605588916746;1605588916749;1605588916749;1605588916753;1605588916753;1605588916753;1605588916753;1605588916753;1605588916753;1605588916771;1605588916771;1605588916771;1605588916773;1605588916773;1605588916773;1605588916798;1605588916805;1605588916810;1605588916811;1605588916825;1605588916826;1605588916835;1605588916835;1605588916840;1605588916840;1605588916843;1605588916844;1605588916862;1605588916862;1605588916863;1605588916863;1605588916975;1605588916975;1605588916999;1605588916999;1605588916999;1605588916999;,444;118;444;118;444;118;444;118;129;129;127;127;257;1303;258;1360;429;441;138;150;398;410;1362;204;118;118;153;153;118;118;138;146;138;721;155;118;138;350;138;202;106;106;718;138;978;118;414;118;149;118;106;106;688;177;1362;204;138;177;,2;1;2;1;2;1;2;1;1;1;1;1;1;1;1;1;2;2;1;1;2;2;1;1;2;2;2;2;1;1;2;2;1;1;1;1;2;2;1;1;2;1;2;1;2;1;2;1;2;2;1;1;1;1;1;1;2;2;
1605588917,192.168.1.204,65349,137.110.0.70,443,17,9547,5346,35,29,1605588917000;1605588917032;1605588917032;1605588917032;1605588917032;1605588917032;1605588917032;1605588917032;1605588917039;1605588917061;1605588917062;1605588917093;1605588917095;1605588917095;1605588917095;1605588917095;1605588917096;1605588917096;1605588917096;1605588917123;1605588917124;1605588917151;1605588917187;1605588917187;1605588917187;1605588917188;1605588917188;1605588917188;1605588917188;1605588917197;1605588917198;1605588917215;1605588917215;1605588917221;1605588917263;1605588917293;1605588917300;1605588917300;1605588917325;1605588917325;1605588917325;1605588917326;1605588917326;1605588917327;1605588917327;1605588917353;1605588917633;1605588917634;1605588917659;1605588917659;1605588917693;1605588917693;1605588917693;1605588917693;1605588917693;1605588917693;1605588917694;1605588917694;1605588917694;1605588917694;1605588917695;1605588917726;1605588917901;1605588917901;,138;201;169;177;138;138;138;177;276;138;524;138;285;169;177;138;138;138;177;138;349;138;201;169;177;138;138;138;177;497;138;280;138;138;654;138;1362;204;201;169;177;138;138;138;177;138;668;299;138;138;201;169;177;201;169;138;138;138;138;138;177;138;1362;204;,1;2;2;2;1;1;1;1;1;2;1;2;2;2;2;1;1;1;1;2;1;2;2;2;2;1;1;1;1;2;1;2;1;2;1;2;1;1;2;2;2;1;1;1;1;2;1;1;2;2;2;2;2;2;2;1;1;1;1;1;1;2;1;1;
1605588918,192.168.1.204,65349,137.110.0.70,443,17,1245,3338,5,5,1605588918153;1605588918153;1605588918299;1605588918299;1605588918299;1605588918299;1605588918301;1605588918301;1605588918301;1605588918451;,674;217;118;1366;1366;244;118;118;118;244;,1;1;2;2;2;2;1;1;1;2;
1605588925,192.168.1.204,51535,137.110.0.70,443,6,89,52,1,1,1605588925300;1605588925340;,89;52;,1;2;
1605588925,192.168.1.204,65349,137.110.0.70,443,17,49014,61990,175,126,1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925308;1605588925342;1605588925342;1605588925342;1605588925342;1605588925342;1605588925344;1605588925344;1605588925344;1605588925344;1605588925344;1605588925346;1605588925346;1605588925347;1605588925349;1605588925349;1605588925349;1605588925349;1605588925349;1605588925349;1605588925349;1605588925349;1605588925349;1605588925350;1605588925350;1605588925350;1605588925350;1605588925351;1605588925351;1605588925355;1605588925366;1605588925366;1605588925372;1605588925372;1605588925372;1605588925372;1605588925372;1605588925372;1605588925372;1605588925372;1605588925372;1605588925372;1605588925372;1605588925372;1605588925372;1605588925372;1605588925372;1605588925372;1605588925372;1605588925372;1605588925372;1605588925373;1605588925373;1605588925373;1605588925373;1605588925373;1605588925373;1605588925374;1605588925374;1605588925374;1605588925374;1605588925374;1605588925374;1605588925374;1605588925374;1605588925374;1605588925374;1605588925375;1605588925375;1605588925375;1605588925375;1605588925376;1605588925376;1605588925376;1605588925376;1605588925376;1605588925376;1605588925376;1605588925377;1605588925377;1605588925381;1605588925381;1605588925381;1605588925381;1605588925381;1605588925381;1605588925381;1605588925381;1605588925408;1605588925436;1605588925436;1605588925436;1605588925436;1605588925436;1605588925437;1605588925437;1605588925437;1605588925437;1605588925442;1605588925442;1605588925442;1605588925442;1605588925442;1605588925442;1605588925442;1605588925442;1605588925443;1605588925443;1605588925443;1605588925443;1605588925444;1605588925444;1605588925444;1605588925444;1605588925446;1605588925446;1605588925446;1605588925446;1605588925446;1605588925446;1605588925446;1605588925446;1605588925446;1605588925446;1605588925447;1605588925447;1605588925447;1605588925447;1605588925447;1605588925447;1605588925448;1605588925448;1605588925448;1605588925448;1605588925448;1605588925454;1605588925454;1605588925455;1605588925469;1605588925469;1605588925469;1605588925469;1605588925471;1605588925471;1605588925474;1605588925494;1605588925494;1605588925494;1605588925494;1605588925509;1605588925509;1605588925509;1605588925510;1605588925510;1605588925511;1605588925511;1605588925511;1605588925511;1605588925515;1605588925515;1605588925516;1605588925516;1605588925571;1605588925574;1605588925574;1605588925574;1605588925574;1605588925574;1605588925578;1605588925578;1605588925579;1605588925579;1605588925608;1605588925608;1605588925608;1605588925608;1605588925632;1605588925632;1605588925633;1605588925633;1605588925633;1605588925634;1605588925634;1605588925636;1605588925636;1605588925637;1605588925637;1605588925637;1605588925640;1605588925641;1605588925643;1605588925644;1605588925699;1605588925699;1605588925699;1605588925700;1605588925700;1605588925701;1605588925701;1605588925701;1605588925701;1605588925702;1605588925703;1605588925703;1605588925703;1605588925704;1605588925704;1605588925705;1605588925707;1605588925707;1605588925722;1605588925722;1605588925733;1605588925767;1605588925785;1605588925785;1605588925785;1605588925786;1605588925786;1605588925786;1605588925789;1605588925789;1605588925845;1605588925847;1605588925847;1605588925848;1605588925851;1605588925852;1605588925854;1605588925855;1605588925911;1605588925912;1605588925912;1605588925913;1605588925916;1605588925917;,674;1362;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130;130;204;209;478;478;478;478;478;450;790;790;790;790;174;174;174;174;174;1362;204;1362;204;1362;204;1362;204;1362;204;209;400;177;439;439;439;439;439;147;147;147;126;217;773;773;142;118;130;138;150;150;150;150;138;150;150;150;150;156;595;204;138;138;150;150;156;177;150;150;150;138;204;588;588;122;122;138;156;204;130;130;126;126;126;126;126;174;126;126;126;126;126;126;126;126;126;106;106;106;106;118;106;106;118;118;285;169;177;126;118;130;130;106;635;106;106;138;138;138;118;118;177;201;169;106;138;138;118;130;130;118;130;142;118;106;138;118;118;118;1366;1366;118;118;118;118;854;1346;1366;1366;1346;1346;1346;1346;138;138;118;118;138;138;138;138;1346;1346;1346;1346;1246;1346;1346;1346;1346;273;138;138;138;138;118;138;138;138;138;138;177;198;674;217;127;127;127;127;1362;204;138;398;424;412;410;118;421;421;118;118;1366;1366;118;118;246;118;674;217;118;1366;1366;118;118;118;258;118;674;217;216;177;1366;836;138;138;138;138;177;138;118;1366;1366;118;118;118;244;118;674;217;453;118;555;138;138;1366;1366;254;177;118;118;138;138;177;246;118;674;217;1362;204;138;118;1366;1366;259;118;118;118;674;217;118;1366;1366;118;245;118;674;217;118;1366;1366;118;258;118;,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;1;1;2;2;1;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;2;2;2;2;1;2;2;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;1;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;1;1;2;2;1;1;2;1;1;1;2;2;2;1;1;1;2;1;1;1;1;1;1;1;2;2;2;2;2;1;2;2;2;1;1;1;2;1;1;1;2;2;2;1;1;2;2;2;2;1;1;1;1;1;2;1;1;1;1;1;2;2;2;2;2;1;1;1;1;1;2;2;2;1;2;1;1;1;2;2;2;1;2;1;
1605588926,192.168.1.204,65349,137.110.0.70,443,17,3132,0,4,0,1605588926026;1605588926026;1605588926624;1605588926625;,1362;204;1362;204;,1;1;1;1;
1605588927,192.168.1.204,65349,137.110.0.70,443,17,1692,294,3,2,1605588927056;1605588927091;1605588927826;1605588927826;1605588927887;,126;138;1362;204;156;,1;2;1;1;2;
1605588930,192.168.1.204,65349,137.110.0.70,443,17,430,482,3,3,1605588930678;1605588930741;1605588930742;1605588930742;1605588930910;1605588930911;,174;118;174;118;190;138;,1;2;2;1;2;1;
1605588931,192.168.1.204,65349,137.110.0.70,443,17,215,0,1,0,1605588931889;,215;,1;
1605588932,192.168.1.192,5353,224.0.0.251,5353,17,73,0,1,0,1605588932925;,73;,1;
1605588933,192.168.1.4,5353,224.0.0.251,5353,17,204,0,1,0,1605588933130;,204;,1;
1605588933,192.168.1.204,65349,137.110.0.70,443,17,264,216,1,1,1605588933439;1605588933439;,216;264;,2;1;
1605588934,192.168.1.204,65349,137.110.0.70,443,17,1252,1150,9,8,1605588934153;1605588934154;1605588934154;1605588934154;1605588934154;1605588934154;1605588934159;1605588934161;1605588934206;1605588934206;1605588934206;1605588934206;1605588934206;1605588934206;1605588934206;1605588934336;1605588934337;,126;106;126;126;126;126;126;126;138;138;118;138;138;138;126;216;264;,1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;1;
1605588938,192.168.1.204,65349,137.110.0.70,443,17,0,216,0,1,1605588938353;,216;,2;
1605588939,192.168.1.192,57621,192.168.1.255,57621,17,72,0,1,0,1605588939989;,72;,1;
1605588941,FE80::A608:F5FF:FE6C:3BA6,0,FF02::1,0,58,96,0,1,0,1605588941423;,96;,1;
1605588942,192.168.1.204,65349,137.110.0.70,443,17,19379,34822,84,58,1605588942328;1605588942328;1605588942328;1605588942328;1605588942328;1605588942328;1605588942328;1605588942328;1605588942328;1605588942328;1605588942328;1605588942329;1605588942329;1605588942329;1605588942329;1605588942329;1605588942329;1605588942329;1605588942329;1605588942329;1605588942329;1605588942329;1605588942388;1605588942396;1605588942396;1605588942396;1605588942396;1605588942400;1605588942400;1605588942400;1605588942400;1605588942400;1605588942400;1605588942400;1605588942400;1605588942400;1605588942400;1605588942400;1605588942400;1605588942400;1605588942401;1605588942401;1605588942401;1605588942402;1605588942402;1605588942402;1605588942402;1605588942442;1605588942442;1605588942458;1605588942458;1605588942458;1605588942459;1605588942460;1605588942463;1605588942463;1605588942463;1605588942463;1605588942464;1605588942466;1605588942467;1605588942476;1605588942477;1605588942478;1605588942528;1605588942528;1605588942528;1605588942528;1605588942534;1605588942536;1605588942536;1605588942537;1605588942537;1605588942537;1605588942540;1605588942540;1605588942543;1605588942543;1605588942600;1605588942604;1605588942604;1605588942605;1605588942605;1605588942605;1605588942607;1605588942607;1605588942609;1605588942610;1605588942663;1605588942665;1605588942665;1605588942666;1605588942666;1605588942669;1605588942670;1605588942672;1605588942673;1605588942731;1605588942733;1605588942733;1605588942733;1605588942733;1605588942736;1605588942737;1605588942739;1605588942740;1605588942796;1605588942799;1605588942799;1605588942799;1605588942799;1605588942803;1605588942804;1605588942806;1605588942807;1605588942863;1605588942866;1605588942866;1605588942866;1605588942866;1605588942870;1605588942871;1605588942873;1605588942874;1605588942929;1605588942930;1605588942930;1605588942931;1605588942931;1605588942933;1605588942934;1605588942936;1605588942937;1605588942970;1605588942993;1605588942993;1605588942996;1605588942996;1605588942997;1605588942997;1605588942998;1605588942999;,674;269;269;269;269;174;130;130;130;130;130;130;130;174;174;264;217;773;773;142;118;797;130;130;130;174;118;118;130;126;126;126;126;130;118;130;142;118;126;126;118;106;106;106;106;106;635;126;118;118;1366;118;1366;118;1366;1366;118;118;118;1246;118;198;674;217;421;421;118;118;118;1366;1366;118;118;118;245;118;674;217;118;1366;1366;118;118;118;258;118;674;217;118;1366;1366;118;118;258;118;674;217;118;1366;1366;118;118;244;118;674;217;118;1366;1366;118;118;246;118;674;217;118;1366;1366;118;118;245;118;674;217;118;1366;1366;118;118;258;118;674;217;126;118;138;1366;1366;118;118;258;118;,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;2;1;2;2;1;2;1;2;2;1;1;1;2;1;1;1;1;2;2;1;1;2;2;2;1;1;1;2;1;1;1;2;2;2;1;1;1;2;1;1;1;2;2;2;1;1;2;1;1;1;2;2;2;1;1;2;1;1;1;2;2;2;1;1;2;1;1;1;2;2;2;1;1;2;1;1;1;2;2;2;1;1;2;1;1;1;1;2;2;2;2;1;1;2;1;
1605588943,192.168.1.204,65349,137.110.0.70,443,17,212,228,2,2,1605588943003;1605588943041;1605588943883;1605588943884;,106;118;110;106;,1;2;2;1;
1605588949,192.168.1.204,51535,137.110.0.70,443,6,141,141,2,2,1605588949036;1605588949064;1605588949064;1605588949064;,89;52;89;52;,1;2;2;1;
1605588950,192.168.1.204,65349,137.110.0.70,443,17,292,174,2,1,1605588950315;1605588950376;1605588950376;,174;174;118;,1;2;1;
1605588951,192.168.1.204,65349,137.110.0.70,443,17,552,734,4,4,1605588951524;1605588951552;1605588951554;1605588951589;1605588951591;1605588951621;1605588951624;1605588951661;,126;308;142;142;142;142;142;142;,1;2;1;2;1;2;1;2;
1605588953,192.168.1.204,65349,137.110.0.70,443,17,305,289,2,2,1605588953149;1605588953191;1605588953191;1605588953192;,187;118;171;118;,1;2;2;1;
1605588954,192.168.1.204,65349,137.110.0.70,443,17,1363,3096,6,4,1605588954551;1605588954551;1605588954617;1605588954619;1605588954619;1605588954619;1605588954619;1605588954620;1605588954621;1605588954622;,674;217;118;1366;1366;118;118;118;246;118;,1;1;2;2;2;1;1;1;2;1;
1605588959,192.168.1.204,65349,137.110.0.70,443,17,0,190,0,1,1605588959244;,190;,2;
